Count,Group
1060,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
67,3
0,3
2771,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
429,3
429,3
429,3
602,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
3076,3
2347,3
2347,3
2347,3
2347,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
56,3
111,3
111,3
111,3
61,3
61,3
22,3
59,3
108,3
108,3
53,3
43,3
23,3
111,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
50,3
429,3
0,3
0,3
0,3
0,3
2737,3
2737,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
856,3
1101,3
1101,3
1019,3
856,3
856,3
856,3
856,3
856,3
1055,3
0,3
0,3
0,3
0,3
4430,3
4880,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
4428,3
4428,3
4428,3
3240,3
2514,3
988,3
988,3
988,3
162,3
162,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
2453,3
2453,3
7,3
7,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
862,3
471,3
317,3
236,3
236,3
236,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
2758,3
331,3
55,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
3676,3
4395,3
4395,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
1796,3
1796,3
1796,3
2416,3
5,3
4,3
0,3
0,3
0,3
0,3
0,3
0,3
1676,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
2866,3
2866,3
2068,3
1361,3
1361,3
1361,3
1361,3
1361,3
476,3
888,3
888,3
888,3
888,3
888,3
205,3
205,3
205,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
2629,3
0,3
0,3
0,3
0,3
0,3
0,3
855,3
121,3
130,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
