Class,Branch,Count_GA,Count_RW
com.eteks.sweethome3d.viewcontroller.HomeController,263,0,0
com.eteks.sweethome3d.viewcontroller.HomeController,464,0,0
com.eteks.sweethome3d.viewcontroller.HomeController,502,0,0
com.eteks.sweethome3d.viewcontroller.HomeController,510,0,0
com.eteks.sweethome3d.viewcontroller.HomeController,239,0,0
com.eteks.sweethome3d.viewcontroller.HomeController,545,0,0
com.eteks.sweethome3d.viewcontroller.HomeController,161,0,0
com.eteks.sweethome3d.viewcontroller.HomeController,275,0,0
com.eteks.sweethome3d.viewcontroller.HomeController,208,0,0
com.eteks.sweethome3d.viewcontroller.HomeController,55,0,0
com.eteks.sweethome3d.viewcontroller.HomeController,23,0,0
com.eteks.sweethome3d.viewcontroller.HomeController,113,0,0
com.eteks.sweethome3d.viewcontroller.HomeController,78,0,0
com.eteks.sweethome3d.viewcontroller.HomeController,179,0,0
com.eteks.sweethome3d.viewcontroller.HomeController,608,0,0
com.eteks.sweethome3d.viewcontroller.HomeController,560,0,0
com.eteks.sweethome3d.viewcontroller.HomeController,149,18,5
com.eteks.sweethome3d.viewcontroller.HomeController,150,17,6
com.eteks.sweethome3d.viewcontroller.HomeController,223,11,9
com.eteks.sweethome3d.viewcontroller.HomeController,142,24,13
com.eteks.sweethome3d.viewcontroller.HomeController,246,30,30
com.eteks.sweethome3d.viewcontroller.RoomController,142,0,0
com.eteks.sweethome3d.viewcontroller.RoomController,62,0,0
com.eteks.sweethome3d.viewcontroller.RoomController,44,0,0
com.eteks.sweethome3d.viewcontroller.RoomController,6,0,0
com.eteks.sweethome3d.viewcontroller.RoomController,151,0,0
com.gbshape.dbe.utils.DBEHelper,18,11,0
com.gbshape.dbe.utils.DBEHelper,23,1,0
com.gbshape.dbe.utils.DBEHelper,84,0,0
com.gbshape.dbe.utils.DBEHelper,66,0,0
com.gbshape.dbe.utils.DBEHelper,2,30,30
com.google.common.base.Joiner,55,30,30
com.google.common.base.Joiner,56,30,30
com.google.common.base.Joiner,41,30,30
com.google.common.base.Joiner,32,30,30
com.google.common.base.Objects,16,0,0
com.google.common.base.Objects,6,30,30
com.google.common.base.Predicates,23,0,0
com.google.common.base.Predicates,78,0,0
com.google.common.base.Predicates,9,0,0
com.google.common.base.Predicates,88,0,0
com.google.common.base.Predicates,44,16,1
com.google.common.base.Predicates,20,4,1
com.google.common.base.Predicates,86,5,1
com.google.common.base.Predicates,64,30,30
com.google.common.base.SmallCharMatcher,7,29,26
com.google.common.base.SmallCharMatcher,4,30,30
com.google.common.base.Splitter,35,30,3
com.google.common.base.Splitter,61,30,24
com.google.common.base.Splitter,49,30,28
com.google.common.base.Splitter,51,30,28
com.google.common.base.Splitter,81,30,30
com.google.common.base.Splitter,75,30,30
com.google.common.base.Splitter,8,30,30
com.google.common.base.Splitter,86,30,30
com.google.common.base.Splitter,55,30,30
com.google.common.base.Suppliers,18,0,0
com.google.common.base.Suppliers,40,0,0
com.google.common.base.Suppliers,33,30,28
com.google.common.base.Utf8,45,29,0
com.google.common.base.Utf8,17,0,0
com.google.common.base.Utf8,53,30,2
com.google.common.base.Utf8,5,30,30
com.google.common.base.Utf8,1,30,30
com.google.common.cache.CacheBuilderSpec,39,28,0
com.google.common.cache.CacheBuilderSpec,104,16,0
com.google.common.cache.CacheBuilderSpec,115,28,1
com.google.common.cache.CacheBuilderSpec,55,30,2
com.google.common.cache.CacheBuilderSpec,86,29,2
com.google.common.cache.CacheBuilderSpec,29,30,3
com.google.common.cache.CacheBuilderSpec,1,30,30
com.google.common.cache.CacheBuilderSpec,139,30,0
com.google.common.math.BigIntegerMath,62,0,0
com.google.common.math.BigIntegerMath,84,28,12
com.google.common.math.BigIntegerMath,92,29,12
com.google.common.math.BigIntegerMath,10,27,13
com.google.common.math.BigIntegerMath,42,30,26
com.google.common.math.BigIntegerMath,67,30,28
com.google.common.math.BigIntegerMath,126,30,30
com.google.common.math.BigIntegerMath,112,30,30
