AC,ND,NV,IC,PIC,DBI,SR
0.9452203302,0.591845098,0.0014117647,0.0704941141,0.0163359438,0.9728459651,0.1176470588
0.8211365424,0.0126012346,0.0032518519,0.2709746012,0.0708066091,0.8802336387,0.4913580247
0.8288049872,0.1506780142,0.002606383,0.1813370457,0.0465628749,0.9234244526,0.7659574468
0.8885772574,0.0742186992,0.0029926829,0.2247244995,0.0536780683,0.9019912613,0.5365853659
0.8008227549,0.0324666667,0.0176333333,0.22433454,0.0454727455,0.8939051279,0.9090909091
0.9288335619,0.0560721823,0.0045247002,0.1428001067,0.0276329087,0.9443629423,0.8232613909
1,1,0.001,0,0,1,0
0.9975410124,0.9549814815,0.0010555556,0.0044548407,0.0010810811,0.9982496513,0
0.3779458362,0.1956229825,0.0018550877,0.0081739136,0.0011237553,0.9979278771,0.031754386
0.7771234122,0.2949235294,0.0017392157,0.3133627151,0.1047361087,0.8517003789,0
0.979779619,0.8488470588,0.0011568627,0.0335712189,0.0082814841,0.9864109659,0.0196078431
0.8312827515,0.0166666667,0.0036920635,0.2737127986,0.0694138583,0.8772345959,0.6253968254
0.9105791836,0.2853441441,0.002163964,0.1606122519,0.0396279162,0.9332359224,0.1738738739
0.8106227833,0.3488867209,0.0019699187,0.0393101353,0.0067088769,0.988305285,0.1013550136
0.8014353579,0.2215322917,0.0024114583,0.0491085081,0.0083938105,0.9846307469,0.0260416667
0.929655364,0.1583807214,0.0034747512,0.0984913424,0.0173277313,0.9651597533,0.0609452736
0.9569722399,0.590465812,0.0030952991,0.0532021602,0.0101995158,0.9799717768,0.205982906
0.7318837117,0.0689051282,0.0449323077,0.3154025269,0.06663022,0.8270798691,0.2420512821
0.9942194481,0.9533529101,0.001047619,0.0093309401,0.0022811171,0.9962226913,0
0.8873332598,0.1914587963,0.0073456019,0.1327986605,0.0284597097,0.946173333,0.6777777778
0.8591444605,0.2283346939,0.0026085034,0.0686220467,0.0130160773,0.9763649174,0.7408163265
0.8861405519,0.5472619482,0.0024829528,0.0498170357,0.0106075634,0.9809319276,0.7768645358
0.8503940307,0.0151801498,0.004917603,0.2934604321,0.0686184312,0.8608816392,0.8872659176
0.8654549114,0.1681892857,0.0150178571,0.1938841142,0.0451873066,0.9121663486,0.6428571429
0.9313196179,0.1209240252,0.0062979874,0.093394758,0.0162779131,0.967326213,0.7135849057
0.9409882073,0.0944838019,0.0048705489,0.1028725027,0.018399524,0.9625975334,0.7512717537
0.9330039028,0.0629962644,0.0035813218,0.1231539954,0.024646124,0.9529148448,0.7385057471
0.9503347043,0.1540652882,0.0042293233,0.0980515095,0.0181388155,0.9640355771,0.5339598997
0.8908527062,0.0164636364,0.0111818182,0.2551182232,0.0596118004,0.8822502547,0.7484848485
0.8634938096,0.3010413043,0.0029618357,0.1124582155,0.0250129356,0.954789411,0.329468599
0.8491807002,0.0509194444,0.00725625,0.1484887673,0.0318075019,0.9420844004,0.25625
0.8121527194,0.2235475391,0.0057189038,0.0820817469,0.0160119851,0.9703968136,0.6482102908
0.9029774773,0.0495287212,0.0044725367,0.1475552676,0.0288710094,0.9411282941,0.8106918239
0.8121612447,0.4044358333,0.0018225,0.0453951703,0.008546046,0.9855579086,0.05
0.8660866586,0.2854427861,0.0033062189,0.0486200424,0.0080209563,0.9845725322,0.7144278607
0.9838941004,0.8338535032,0.001595966,0.0194469441,0.0038283889,0.9931317705,0.1080679406
0.8671182239,0.2213858333,0.0144016667,0.1902940309,0.0383375042,0.9180358891,0.7345833333
0.9893642279,0.9675637681,0.0010504831,0.001683958,0.0002669336,0.9995351193,0
0.8479676491,0.4249843434,0.0069934343,0.0855349721,0.0169700003,0.965615874,0.4101010101
0.8423030782,0.1428535088,0.0243754386,0.1644111877,0.0373601672,0.920814225,0.6842105263
0.9147522247,0.0748561404,0.0072929825,0.1386672108,0.0267764841,0.9434237538,0.7254385965
0.8759380379,0.0223410256,0.0037910256,0.2114025173,0.0492402659,0.910343303,0.6923076923
0.8915539476,0.0286551282,0.0036935897,0.2069539216,0.0484510151,0.914350365,0.8737179487
0.9084058653,0.0877130081,0.0060493225,0.1437570386,0.0294929075,0.9433380536,0.8346883469
0.8259301475,0.4261167715,0.0026287212,0.0318202037,0.005022213,0.9902462305,0.6457023061
0.8178421705,0.0604139785,0.0057258065,0.2303607569,0.0572766315,0.8998849707,0.9032258065
0.7858113527,0.3564565217,0.0025054348,0.0466278756,0.0083775805,0.9851111372,0.9025362319
0.758405914,0.2594581301,0.0025353659,0.0534361222,0.0093089024,0.9833874467,0.3682926829
0.8393142142,0.076088172,0.0035467742,0.1061968972,0.0206453766,0.9636433047,0.5365591398
0.9939468188,0.9325344612,0.0012159148,0.0102854057,0.0021754838,0.9960732193,0.030075188
0.9968143025,0.976494525,0.0010241546,0.0047821569,0.0011652554,0.9980762646,0
0.9968443249,0.9870595078,0.0010308725,0.0018077028,0.0003892035,0.9993444669,0.0134228188
0.7878584603,0.2645248588,0.0068819209,0.1004466974,0.0201370862,0.9594099783,0.8305084746
0.9627728977,0.8300924444,0.0050475556,0.0534420579,0.0142542543,0.9746569355,0.08
0.9473244817,0.0400494949,0.0138055556,0.1451691698,0.0265421988,0.9425328881,0.8444444444
0.6565745991,0.1566138211,0.0056569106,0.1092104218,0.0251023381,0.9549163464,0.7764227642
0.6040944825,0.00258,0.0028777778,0.0625852316,0.0120242465,0.9780167749,0.53
0.9732715845,0.815083871,0.0025934588,0.0340242109,0.0070142723,0.9854891345,0.1862903226
0.9894857908,0.9763777778,0.0010238095,0.0107321324,0.0036862259,0.9949550308,0
0.7387355268,0.3679125212,0.0022649746,0.0291434908,0.0044272699,0.9914643261,0.3287648054
0.8817507569,0.2710602837,0.0033304965,0.052894203,0.0090523147,0.9830374062,0.699822695
0.8252383164,0.4924781145,0.0019306397,0.025676337,0.0043525006,0.9921088632,0.2164983165
0.8428951756,0.2304215686,0.0023078431,0.068101079,0.0127598186,0.9776268374,0.7637254902
0.924239899,0.0218073504,0.0134637607,0.1792535288,0.0359325137,0.9241552386,0.6011965812
0.8669352045,0.0409482993,0.0060537415,0.2043931122,0.047062709,0.9133921303,0.787414966
0.8568478431,0.0419638095,0.0035428571,0.1912994187,0.043343364,0.9202159655,0.1571428571
0.775922729,0.3602328704,0.0025625,0.0870566513,0.0176945464,0.9694825828,0.1527777778
0.8833020167,0.031279619,0.0061497143,0.2050302681,0.0468594309,0.9133492542,0.6643809524
0.8911657036,0.0203903509,0.0057201754,0.2122341135,0.0492738352,0.9108940647,0.8684210526
0.8744760117,0.0386,0.002,0.1553334752,0.0348125904,0.941427869,0
0.8420112158,0.2954033987,0.0024768627,0.0662053057,0.0122696553,0.9772723276,0.3011764706
0.8683403161,0.0225326531,0.0040931973,0.1809076447,0.0414891082,0.9281145757,0.387755102
0.8654849574,0.6648460993,0.001635157,0.0176298348,0.0027374893,0.9948219599,0.0818642351
0.9483731112,0.1376422807,0.0021947368,0.0649414746,0.0114821839,0.9794132111,0.1257894737
0.8996275317,0.1169123314,0.0035759152,0.0978606504,0.0190217192,0.9654807995,0.7441233141
